cat,date,year,season,sex,age,age.2,toxo titer,toxo320,toxo160,fiv,felv,type,colony,catsincolony,latitude,longitude
MO-001,3/27/06,2006,wet,m,> 12 months,adult,40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-019,4/2/06,2006,wet,m,> 12 months,adult,<40,0,0,0,1,managed,1,8,36.79166389,-121.7873
MO-025,4/3/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-026,4/3/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-032,4/9/06,2006,wet,f,6-12 months,juvenile,5120,1,1,0,0,managed,1,8,36.79166389,-121.7873
MO-036,4/10/06,2006,wet,m,> 12 months,adult,160,0,1,0,0,managed,1,8,36.79166389,-121.7873
MO-038,4/11/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-075,5/7/06,2006,wet,m,> 12 months,adult,40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-077,5/9/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,1,8,36.79166389,-121.7873
MO-002,3/27/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,2,3,36.27239722,-121.8089306
MO-012,3/28/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,2,3,36.27239722,-121.8089306
MO-013,3/28/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,2,3,36.27239722,-121.8089306
MO-003,3/27/06,2006,wet,m,> 12 months,adult,5120,1,1,1,1,managed,3,2,36.70055556,-121.6217611
MO-004,3/27/06,2006,wet,f,6-12 months,juvenile,20480,1,1,0,0,managed,3,2,36.70055556,-121.6217611
MO-005,3/27/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,4,3,36.84226111,-121.6696
MO-045,4/17/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,4,3,36.84226111,-121.6696
MO-070,5/1/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,4,3,36.84226111,-121.6696
MO-006,3/27/06,2006,wet,f,6-12 months,juvenile,40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-014,3/28/06,2006,wet,f,6-12 months,juvenile,40wk,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-015,3/28/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-029,4/4/06,2006,wet,f,6-12 months,juvenile,40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-031,4/5/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-035,4/9/06,2006,wet,m,> 12 months,adult,40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-037,4/10/06,2006,wet,f,> 12 months,adult,40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-039,4/11/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-049,4/18/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-063,4/25/06,2006,wet,f,> 12 months,adult,320,1,1,0,0,managed,5,17,36.61686944,-121.8479306
MO-066,4/26/06,2006,wet,f,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-073,5/2/06,2006,wet,m,> 12 months,adult,80,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-312,6/25/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-315,7/1/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-316,7/1/07,2007,dry,m,> 12 months,adult,<40,0,0,1,0,managed,5,17,36.61686944,-121.8479306
MO-317,7/1/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-318,7/1/07,2007,dry,m,> 12 months,adult,<40,0,0,0,0,managed,5,17,36.61686944,-121.8479306
MO-007,3/27/06,2006,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,6,4,36.81003889,-121.7222556
MO-008,3/27/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,6,4,36.81003889,-121.7222556
MO-009,3/27/06,2006,wet,f,6-12 months,juvenile,40wk,0,0,0,0,managed,6,4,36.81003889,-121.7222556
MO-010,3/27/06,2006,wet,m,6-12 months,juvenile,40,0,0,0,0,managed,6,4,36.81003889,-121.7222556
MO-011,3/28/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,7,1,36.21430556,-121.1278694
MO-016,3/29/06,2006,wet,m,6-12 months,juvenile,40,0,0,0,0,managed,8,2,36.79463333,-121.6540528
MO-017,3/29/06,2006,wet,m,6-12 months,juvenile,40,0,0,0,0,managed,8,2,36.79463333,-121.6540528
MO-018,3/29/06,2006,wet,m,> 12 months,adult,5120,1,1,0,0,managed,9,1,36.61932222,-121.9180278
MO-020,4/2/06,2006,wet,f,6-12 months,juvenile,40wk,0,0,0,0,managed,10,1,36.76190556,-121.6629028
MO-021,4/1/06,2006,wet,m,6-12 months,juvenile,80,0,0,0,0,managed,11,2,36.44524444,-121.3317306
MO-022,4/3/06,2006,wet,f,6-12 months,juvenile,320,1,1,0,0,managed,11,2,36.44524444,-121.3317306
MO-023,4/2/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,12,7,36.76094167,-121.6625861
MO-027,4/3/06,2006,wet,f,> 12 months,adult,10240,1,1,0,0,managed,12,7,36.76094167,-121.6625861
MO-030,4/5/06,2006,wet,m,> 12 months,adult,<40,0,0,0,0,managed,12,7,36.76094167,-121.6625861
MO-445,4/14/08,2008,wet,m,> 12 months,adult,160,0,1,0,0,managed,12,7,36.76094167,-121.6625861
